customer_id,customer_name,gender,birth_date,phone,email,city,province,join_date,customer_segment
CUST0001,Rian Pratama,Male,05 Oct 1994,+628004522774,rianpratama807@outlook.com,Makassar,Sulawesi Selatan,2024-09-16,member
CUST0002,Retno Wibowo,Female,1977-06-11,08758944342  ,retnowibowo83@mail.com,Medan,Sumatera Utara,23/10/2022,Member
CUST0003,Melati Adiputra,Male,02-02-1982,08571542948,melatiadiputra357@mail.com,Surabaya,Jawa Timur,04 Oct 2024,regular
CUST0004,Krisna Susanto,Female,27/05/1990,08021788084,krisnasusanto531@yahoo.com,Semarang,Jawa Tengah,04-07-2024,Regular
CUST0005,Hadi Hidayat,Female,06 Apr 1998,08621550994,hadihidayat511@yahoo.com,Surabaya,Jawa Timur,09 Nov 2023,Membre
CUST0006,Hendra Gunawan,Female,15 Feb 1976,08827495822  ,hendragunawan458@yahoo.com,Surabaya,Jawa Timur,12-11-2022,Membre
CUST0007,Fikri Pratama,Male,1988-06-05,08077836894,fikripratama515@yahoo.com,Surabaya,Jawa Timur,25 Jul 2021,vip
CUST0008,budi halim,Female,2005-01-21,0893-6688-833,,Palembang,Sumatera Selatan,02 Nov 2024,VIP
CUST0009,Rizky Lestari,Male,20-04-1971,08072315571,rizkylestari635@mail.com,Semarang,Jawa Tengah,09 Apr 2024,Reguler
CUST0010,EKO WAHYUNI,Female,1977-02-01,0809-9296-439,ekowahyuni243@gmail.com,Surabaya,Jawa Timur,23 Mar 2024,REGULAR
CUST0011,Ayu Saputra,F,15-03-1997,+628789728212,ayusaputra926@gmail.com,Jakarta,DKI Jakarta,25/09/2022,Member
CUST0012,Agus Yulianto,Male,13 Mar 1994,628835219992,agusyulianto480@gmail.com,Jakarta,DKI Jakarta,08-04-2022,Vip
CUST0013,Agus Kusumo,Male,2003-08-07,08658912085,aguskusumo651@gmail.com,Surabaya,Jawa Timur,2024-08-22,regular
CUST0014,INDRA SUSANTO,Female,23-08-1986,0867-9471-404,indrasusanto34@outlook.com,Bandung,Jawa Barat,2023-06-28,regular
CUST0015,Melati Suryani,Male,07-07-1978,+628998026903,melatisuryani71@yahoo.com,Yogyakarta,DI Yogyakarta,01/03/2022,member
CUST0016,Zahra Prasetyo,Female,1994-03-26,08216007231,zahraprasetyo760@yahoo.com,Jakarta,DKI Jakarta,11 May 2021,REGULAR
CUST0017,Lina Wibowo   ,Male,2000-10-11,628174831165,linawibowo612@mail.com,Semarang,Jawa Tengah,02/11/2023,Member
CUST0018,Rudi Gunawan,Female,23-09-2002,08046319080,,Jakarta,DKI Jakarta,2024-04-16,Vip
CUST0019,Nita Suryani,Male,22-04-1972,628963526218,nitasuryani781@gmail.com,Bandung,Jawa Barat,2023-05-29,Member
CUST0020,Yusuf Handayani,M,05/06/1976,628541607243,yusufhandayani739@outlook.com,Makassar,Sulawesi Selatan,06/05/2024,Regular
CUST0021,RIAN ANGGRAINI  ,Male,1975-02-08,+628316553290,riananggraini969@outlook.com,Jakarta,DKI Jakarta,08 Jun 2022,Regular
CUST0022,salsa firmansyah,Female,20-12-1999,0880-8009-855,salsafirmansyah118@outlook.com,Surabaya,Jawa Timur,2021-12-18,Membre
CUST0023,RUDI MAHARANI,Male,02/12/1983,+628727065173,,Bandung,Jawa Barat,22 Dec 2021,Member
CUST0024,Dedi Lestari,Female,04-11-1998,08668610432,,Semarang,Jawa Tengah,2023-07-15,REGULAR
CUST0025,Intan Maharani  ,Female,24-08-1995,08634101837,intanmaharani254@gmail.com,Semarang,Jawa Tengah,10-12-2023,member
CUST0026,Anisa Nugroho,F,20 Apr 1998,628600627698,anisanugroho597@gmail.com,Surabaya,Jawa Timur,28/09/2022,Vip
CUST0027,Sinta Purnama,Male,25/09/1975,+628687656433,sintapurnama350@yahoo.com,Semarang,Jawa Tengah,2022-01-29,regular
CUST0028,Doni Maharani,Female,14-08-1993,+628037131878,donimaharani45@mail.com,Malang,Jawa Timur,02 May 2022,Vip
CUST0029,wulan kusuma,Female,1978-09-14,08399423598,wulankusuma54@outlook.com,Surabaya,Jawa Timur,10-02-2024,Vip
CUST0030,agus lestari,Female,11/02/1974,628924300529,aguslestari29@yahoo.com,Jakarta,DKI Jakarta,2024-08-24,regular
CUST0031,Doni Yulianto,Male,1990-02-14,+628690219647,,Medan,Sumatera Utara,2024-08-01,Membre
CUST0032,Bagus Prasetyo,Female,2002-03-26,08146246090,bagusprasetyo895@mail.com,Palembang,Sumatera Selatan,04-03-2023,vip
CUST0033,Zahra Santoso,Female,24/12/2002,+628713368694,zahrasantoso65@yahoo.com,Semarang,Jawa Tengah,2021-03-17,Regular
CUST0034,Maya Yulianto,Female,1971-08-23,0871-3783-138,mayayulianto348@mail.com,Semarang,Jawa Tengah,18 Nov 2024,REGULAR
CUST0035,Agus Firmansyah,Female,04-08-1973,08324714479  ,agusfirmansyah655@outlook.com,Jakarta,DKI Jakarta,03/06/2021,Membre
CUST0036,Siti Hidayat,Male,02/08/1980,08733566937,sitihidayat408@outlook.com,Bandung,Jawa Barat,27 May 2022,VIP
CUST0037, Bambang Rahmawati  ,Female,24-12-1978,628184840683,bambangrahmawati564@gmail.com,Surabaya,Jawa Timur,19/11/2021,member
CUST0038,Putri Pratama,Female,03/09/1995,0838-5603-975,putripratama129@gmail.com,Palembang,Sumatera Selatan,01/06/2021,REGULAR
CUST0039,Naufal Hidayat,Male,12/11/1976,08319295201  ,naufalhidayat641@yahoo.com,Yogyakarta,DI Yogyakarta,11/07/2021,member
