order_id,customer_id,branch_name,cashier_name,order_date,order_time,payment_method,promotion,subtotal,discount,tax,tax_rate,grandtotal
ORD00001,CUST0012,FnB Jakarta Selatan,Tuti Wijaya,2023-10-14,12:48:49,QRIS,NULL,178890,0,17910,9.999944165582,196778
ORD00002,CUST0192,FnB Bandung,Tuti Wijaya,2023-08-07,17:12:19,qris,NULL,349598,0,35167,10.000028435830,384557
ORD00003,CUST0097,FnB Jakarta Pusat,Yusuf Handayani,2024-10-08,20:47:12,Credit Card,MEMBER DISC,194486,13477,18102,9.307180133165,212587
ORD00004,CUST0173,FnB Bandung,Reza Puspita,2023-07-31,17:50:34,Cash,-,422669,0,38768,10.000025794536,464936
ORD00005,CUST0162,FnB Surabaya,Bagus Lestari,2024-12-11,11:21:50,credit card,BUY1GET1,169722,0,16972,9.999882160238,186693
ORD00006,CUST0132,FnB Jakarta Selatan,Gilang Anggraini,2023-10-03,20:55:34,Cash,NULL,123218,0,12361,9.999838203410,135539
ORD00007,CUST0162,FnB Palembang,Rian Suryani,2024-12-15,17:30:58,CASH,NULL,228814,5186,22176,9.771444434163,251172
ORD00008,CUST0173,FnB Denpasar,Gilang Anggraini,2023-08-25,13:03:57,Credit Card,-,236278,19698,21660,9.166352798784,257936
ORD00009,CUST0097,FnB Semarang,Fajar Yulianto,2024-10-25,08:52:52,QRIS,PROMO20,322893,41437,28156,8.717054851563,351039
ORD00010,CUST0078,FnB Surabaya,Fajar Yulianto,2024-01-24,11:27:21,Tunai,WEEKEND SPECIAL,196672,19368,17736,9.015722615047,214403
ORD00011,CUST0156,FnB Makassar,Joko Kusumo,2024-12-28,13:36:34,gopay,MEMBER DISC,346277,0,34628,10.000086635843,380904
ORD00012,CUST0162,FnB Jakarta Pusat,Rian Suryani,2023-07-01,11:17:09,qris,NONE,304860,0,30536,10.000163743839,335346
ORD00013,CUST0162,FnB Yogyakarta,Siti Pratama,2024-02-16,17:08:06,GoPay,-,241986,0,24241,9.999834993028,266184
ORD00014,CUST0162,FnB Jakarta Pusat,Joko Kusumo,2024-12-14,12:05:00,gopay,WEEKEND SPECIAL,126404,23454,10395,8.159084487143,136717
